,profile_id,first_name,middle_name,last_name,is_contact_pi,full_name,title,appl_id,project_serial_num,last_name_initials
13,2667413,Olugbenga,G.,Ogedegbe,False,Olugbenga G Ogedegbe,DIRECTOR AND PROFESSOR,10536608,MD013769,Ogedegbe GO
1,1877373,Pamela,HELEN,Dalton,True,Pamela Helen Dalton,MEMBER,10554171,DC019578,Dalton HP
0,11633683,Patchareeya,Pumpuang,Kwan,True,Patchareeya Pumpuang Kwan,ASSOCIATE PROFESSOR,10545069,MD017434,Kwan PP
101,2188878,Paul,G,Spicer,True,Paul G Spicer,,10721315,GM104938,Spicer GP
33,12109790,Pearl,,Mcelfish,True,Pearl  Mcelfish,"DIRECTOR, OCHR",10573211,MD013852,Mcelfish P
35,9942278,Peter,,Kotanko,False,Peter  Kotanko,,10554348,DK130067,Kotanko P
125,15290487,Peter,Lefort,Whitesell,True,Peter Lefort Whitesell,,10597892,MD007597,Whitesell LP
67,1859830,Philip,A,Fisher,False,Philip A Fisher,,10677555,DA048756,Fisher AP
74,1859830,Philip,A,Fisher,True,Philip A Fisher,,10677564,DA048756,Fisher AP
139,1872991,Richard,Douglas,Moore,True,RICHARD Douglas MOORE,PROFESSOR,10612976,AI094189,Moore DR
33,9093798,Raegan,Winston,Durant,False,Raegan Winston Durant,,10545071,MD017432,Durant WR
119,8909636,Reagan,,Curtis,True,Reagan  Curtis,PROFESSOR,10685605,GM104942,Curtis R
